source_file,inputnpy,delta,L_gb,threads,eps,minPts,runtime_s,n_clusters,noise,noise_frac,max_cluster_share,median_cluster_size,p90_cluster_size,p99_cluster_size
srr_tuning_report1.json,,0.1,4.0,24,0.8008046060800552,30,4.562620162963867,281,47168,0.9070420368447367,0.021903003730625745,3.0,12.0,364.999999999996
srr_tuning_report1.json,,0.1,4.0,24,0.8589185118675232,30,4.522845029830933,235,45015,0.8656397830852659,0.09186185146725126,3.0,16.19999999999999,145.75999999999988
srr_tuning_report1.json,,0.1,4.0,24,0.8991734653711319,30,4.5832202434539795,209,43154,0.8298526979731549,0.13287950463443712,3.0,9.200000000000017,152.55999999999977
srr_tuning_report1.json,,0.1,4.0,24,0.9283473014831543,30,4.71536922454834,172,41642,0.8007768931964155,0.18483904465212878,3.0,8.0,43.46999999999966
srr_tuning_report1.json,,0.1,4.0,24,0.9720647275447846,30,4.601053714752197,118,39049,0.7509134264066767,0.24077920079996923,2.0,5.0,30.14999999999999
srr_tuning_report1.json,,0.1,4.0,24,1.0032323360443116,30,4.639760732650757,112,36811,0.707876620129995,0.2855851698011615,2.0,5.900000000000006,22.35000000000001
srr_tuning_report1.json,,0.1,4.0,24,1.0292706489562988,30,4.671447992324829,61,34747,0.6681858390061921,0.328448905811315,2.0,6.0,6837.999999999975
srr_tuning_report1.json,,0.1,4.0,24,1.052433729171753,30,4.667367696762085,47,32596,0.6268220453059498,0.3707549709626553,2.0,4.0,10418.099999999984
srr_tuning_report1.json,,0.1,4.0,24,1.0742332577705382,30,4.7119200229644775,29,30577,0.5879966155147879,0.4108111226491289,2.0,3.0,15382.759999999977
srr_tuning_report1.json,,0.1,4.0,24,1.0971913099288941,30,4.725842237472534,20,28070,0.5397869312718742,0.45936694742509904,2.0,2.6000000000000085,19350.79999999997
srr_tuning_report1.json,,0.1,4.0,24,0.8536082029342651,50,4.465032577514648,186,47500,0.9134264066766663,0.0234029460405369,3.0,18.5,756.6000000000025
srr_tuning_report1.json,,0.1,4.0,24,0.9071236908435821,50,4.594193935394287,156,45676,0.8783508326602822,0.10616899350024998,2.0,8.0,89.14999999999992
srr_tuning_report1.json,,0.1,4.0,24,0.9440792232751847,50,4.500234603881836,145,44128,0.8485827468174301,0.13649475020191532,3.0,10.599999999999994,55.56
srr_tuning_report1.json,,0.1,4.0,24,0.9712679624557495,50,4.559177875518799,109,42801,0.8230644975193262,0.16830121918387755,2.0,8.0,60.92000000000009
srr_tuning_report1.json,,0.1,4.0,24,1.0109556436538696,50,4.526555299758911,90,40473,0.7782969885773624,0.21647244336756277,2.0,5.200000000000017,1249.8399999999936
srr_tuning_report1.json,,0.1,4.0,24,1.0387948513031007,50,4.580390691757202,68,38730,0.7447790469597323,0.2517595477097035,2.0,4.0,4325.7199999999775
srr_tuning_report1.json,,0.1,4.0,24,1.0616967678070068,50,4.6488916873931885,37,37021,0.7119149263489866,0.2861620706895889,2.0,4.599999999999994,9528.520000000008
srr_tuning_report1.json,,0.1,4.0,24,1.0819830417633056,50,4.6451966762542725,41,35313,0.6790700357678551,0.31879543094496365,2.0,4.0,9951.600000000024
srr_tuning_report1.json,,0.1,4.0,24,1.1014988899230957,50,4.687966585159302,33,33556,0.6452828737356255,0.3533133341025345,2.0,3.0,12494.919999999995
srr_tuning_report1.json,,0.1,4.0,24,1.1222715616226195,50,4.707240104675293,15,31461,0.604995961693781,0.3944271374177916,2.0,3.0,17639.87999999999
srr_tuning_report1.json,,0.1,4.0,24,0.9020965188741684,80,4.536148309707642,150,47829,0.9197530864197531,0.0584015999384639,3.0,14.099999999999994,170.25999999999794
srr_tuning_report1.json,,0.1,4.0,24,0.9519382834434509,80,4.476408004760742,124,46219,0.8887927387408177,0.10101534556363216,2.0,7.400000000000006,62.2699999999998
srr_tuning_report1.json,,0.1,4.0,24,0.9849138379096984,80,4.580047607421875,99,44906,0.8635437098573132,0.13039883081419945,2.0,6.200000000000003,154.2399999999731
srr_tuning_report1.json,,0.1,4.0,24,1.009419059753418,80,4.541813373565674,92,43877,0.8437560093842544,0.1505326718203146,2.0,6.0,717.2600000000266
srr_tuning_report1.json,,0.1,4.0,24,1.0451493859291077,80,4.716171503067017,61,41969,0.8070651128802738,0.18937733164109072,2.0,5.0,3947.599999999986
srr_tuning_report1.json,,0.1,4.0,24,1.0702744483947755,80,4.631016492843628,39,40445,0.7777585477481636,0.2203569093496404,2.0,5.0,7107.239999999971
srr_tuning_report1.json,,0.1,4.0,24,1.0906459093093872,80,4.625666379928589,31,39120,0.7522787585092882,0.2462020691511865,2.0,6.0,8964.49999999999
srr_tuning_report1.json,,0.1,4.0,24,1.108987021446228,80,4.636140584945679,20,37688,0.7247413561016884,0.2744702126841275,2.0,3.0,11561.699999999983
srr_tuning_report1.json,,0.1,4.0,24,1.1264681458473205,80,4.6087706089019775,22,36266,0.6973962539902312,0.3017191646475136,2.0,3.0,12395.939999999986
srr_tuning_report1.json,,0.1,4.0,24,1.1449220418930053,80,4.584563493728638,11,34534,0.6640898426983578,0.3354678666205146,2.0,4.0,15700.900000000007
srr_tuning_report1.json,,0.1,4.0,24,0.9441702365875244,120,4.50331449508667,109,48156,0.9260413061036114,0.05824775970154994,3.0,11.200000000000003,298.4400000000005
srr_tuning_report1.json,,0.1,4.0,24,0.9910093486309052,120,4.574834108352661,100,46724,0.8985039036960117,0.09380408445829007,2.0,8.0,111.15000000002463
srr_tuning_report1.json,,0.1,4.0,24,1.020491325855255,120,4.499923229217529,75,45624,0.8773508711203415,0.11878389292719511,2.0,4.0,1613.4200000000315
