minPts,eps_elbow,elbow_idx,elbow_pct,mean,std,median,q70,q80,q90,time_s
10,0.2912444472312927,49053,94.33,0.22309258892389472,0.045086266851330555,0.22539230436086655,0.2495188444852829,0.2625718176364899,0.2801023781299591,7.4351701736450195
15,0.29659345746040344,48851,93.94,0.23140598645885171,0.04412060844414668,0.23421770334243774,0.25701407492160794,0.26972429156303407,0.2867678552865982,6.070834159851074
20,0.3015235662460327,48930,94.09,0.2373223331020851,0.043429139268074825,0.24030578881502151,0.26247017085552216,0.27490746378898623,0.29166772663593293,6.04174280166626
25,0.30373743176460266,48698,93.65,0.241909347875888,0.04294417042886493,0.244981087744236,0.2667454779148102,0.2789685547351837,0.2954031258821488,6.011154413223267
30,0.30765119194984436,48838,93.92,0.24564320905007497,0.0425833613402057,0.24891305714845657,0.2703769892454147,0.2823536455631256,0.298527193069458,6.285098552703857
