cluster_id,size,mean_dist,std_dist,cv
52001,47796,0.6348765400988838,0.13473416395422755,0.2122210468404492
49539,66,0.4332505891256568,0.19510590350468734,0.45033038246625506
51185,57,0.5908372106519127,0.12856327595575254,0.2175950898791556
44631,53,0.6030093535779331,0.13183502993240936,0.21862849912720464
43167,29,0.5460467741149686,0.09694403428268823,0.17753796721867812
